target,value
G1,0.04141225260606061
G10,0.04106159128282828
G100,0.040469486707070706
G11,0.04217156534343434
G12,0.04113062048484849
G13,0.04118697913131313
G14,0.04072316028282828
G15,0.04070716919191919
G16,0.041357081676767674
G17,0.04115310821212121
G18,0.04105012708080808
G19,0.04155186227272727
G2,0.041009147747474745
G20,0.04114917643434343
G21,0.040497840797979794
G22,0.0420892555959596
G23,0.04115983526262626
G24,0.040743312686868684
G25,0.04146793959595959
G26,0.041555005191919195
G27,0.0417551153030303
G28,0.04165549364646465
G29,0.04085815584848485
G3,0.04105217082828283
G30,0.04076609481818182
G31,0.04186153143434344
G32,0.041450053646464646
G33,0.04124898119191919
G34,0.040952523484848485
G35,0.04067611752525253
G36,0.04195489932323232
G37,0.04050791597979798
G38,0.04152326113131313
G39,0.041847965969696976
G4,0.04133053583838384
G40,0.04100395741414141
G41,0.04175201905050505
G42,0.04128577887878788
G43,0.040748891121212126
G44,0.04150362413131313
G45,0.04024920214141414
G46,0.04241004651515152
G47,0.041827256696969704
G48,0.04081200549494949
G49,0.042069914353535354
G5,0.04190667378787879
G50,0.04124818234343434
G51,0.041832098636363634
G52,0.04141435094949495
G53,0.04111455213131313
G54,0.04149687163636363
G55,0.040944956464646465
G56,0.04137781672727273
G57,0.041925637555555555
G58,0.04204760416161616
G59,0.04051810832323232
G6,0.04134287187878787
G60,0.04219686951515152
G61,0.04137513914141414
G62,0.041578829232323235
G63,0.04172155917171717
G64,0.0412587263939394
G65,0.041445715363636365
G66,0.04140527256565656
G67,0.041207703676767675
G68,0.041069790747474744
G69,0.04131208959595959
G7,0.041658602818181824
G70,0.04180755226262626
G71,0.04144303885858586
G72,0.041619959414141414
G73,0.04130257361616161
G74,0.04031801981818182
G75,0.04148701873737373
G76,0.041727670343434345
G77,0.0418617291010101
G78,0.04160980749494949
G79,0.04178420503030303
G8,0.04234385602020202
G80,0.04183905232323232
G81,0.041029970454545456
G82,0.0421612562929293
G83,0.0416465166969697
G84,0.041479943636363634
G85,0.040373991040404046
G86,0.041554522232323234
G87,0.04147945014141414
G88,0.04191636234343435
G89,0.040816549404040406
G9,0.04191751075757576
G90,0.04182839297979798
G91,0.04141154558585859
G92,0.04102226070707071
G93,0.041586126323232324
G94,0.041291346676767676
G95,0.041105593757575755
G96,0.04106964453535354
G97,0.042308898747474746
G98,0.04149555903030303
G99,0.04246022235353535
