target,value
G1,0.022488964027795846
G10,0.03685861636750605
G100,0.035296633193665196
G11,0.05951512601821597
G12,0.031862725040658214
G13,0.027139145895783187
G14,0.01867367726139822
G15,0.05305734964160339
G16,0.028038940767927786
G17,0.02873799269859128
G18,0.057051783118243146
G19,0.021878197593296227
G2,0.027277113784546163
G20,0.10033016242934426
G21,0.06297339999203942
G22,0.03726240898761684
G23,0.021778905405008046
G24,0.02902317370751452
G25,0.04784986160758611
G26,0.07989200425253959
G27,0.044402444003932506
G28,0.027174695404800903
G29,0.05833678810415106
G3,0.05684674546458735
G30,0.025372774315342992
G31,0.0900093230877746
G32,0.052473727959584
G33,0.027024338836417503
G34,0.0685840362179712
G35,0.028997384668710536
G36,0.028067179451180847
G37,0.04887312491573294
G38,0.06264164774100796
G39,0.10467693816683783
G4,0.02171679690342339
G40,0.03439496202307189
G41,0.02211029695307235
G42,0.028436586065229214
G43,0.03483420301958399
G44,0.032684195909492515
G45,0.036575297220407796
G46,0.03828122848873027
G47,0.02731698410286874
G48,0.09322401433827764
G49,0.04809526224991715
G5,0.02181796409033976
G50,0.031059362644226856
G51,0.09084503970294795
G52,0.04475765496096291
G53,0.037353734379090064
G54,0.03034258321488773
G55,0.04200091920312238
G56,0.02964778770611636
G57,0.05888039503483686
G58,0.027808881418850632
G59,0.06651536815891808
G6,0.030587798849440535
G60,0.023416267652547073
G61,0.01846664513294471
G62,0.027626683747545067
G63,0.08633254484222594
G64,0.032839868658150445
G65,0.020180906236111306
G66,0.04402788432016821
G67,0.08234007232321756
G68,0.07683957791714124
G69,0.03666822759752284
G7,0.060048869937435516
G70,0.07712453243826427
G71,0.0777316216826478
G72,0.06447943505183845
G73,0.05254010023553765
G74,0.04658436742111309
G75,0.03082893565110182
G76,0.02561312131092848
G77,0.027284015208401017
G78,0.022743484761005905
G79,0.02461928576026253
G8,0.06623859024979162
G80,0.03150472960558834
G81,0.06660681357516803
G82,0.09481607915144802
G83,0.03418161159576159
G84,0.01801934308314194
G85,0.06828940822082762
G86,0.03697465021672577
G87,0.021321949509904056
G88,0.051061979239832515
G89,0.0264255742342028
G9,0.09015617754003442
G90,0.0361338150077382
G91,0.021929213934526105
G92,0.06739746442653237
G93,0.03240570225169976
G94,0.07394611662813583
G95,0.020415609040072714
G96,0.018355175852939193
G97,0.02510372619733375
G98,0.02427969749051692
G99,0.06371503953816646
