target,value
G1,0.01008619191919192
G10,0.009997515151515151
G100,0.009817757575757575
G11,0.009895282828282828
G12,0.009990383838383838
G13,0.01001220202020202
G14,0.010039818181818181
G15,0.009927565656565655
G16,0.010001939393939393
G17,0.009972717171717172
G18,0.010041202020202021
G19,0.010023727272727273
G2,0.009966989898989899
G20,0.010046121212121211
G21,0.00991620202020202
G22,0.01000569696969697
G23,0.00997720202020202
G24,0.009946848484848485
G25,0.009954686868686868
G26,0.009995858585858587
G27,0.01002530303030303
G28,0.010073131313131313
G29,0.009883373737373738
G3,0.00996270707070707
G30,0.009923545454545454
G31,0.009945818181818182
G32,0.009927151515151516
G33,0.010042454545454545
G34,0.010024868686868688
G35,0.009903848484848486
G36,0.009978333333333334
G37,0.010056494949494949
G38,0.009956747474747474
G39,0.010027676767676769
G4,0.010061313131313131
G40,0.009983838383838383
G41,0.010004959595959597
G42,0.010044575757575757
G43,0.009898414141414142
G44,0.00995140404040404
G45,0.009804262626262626
G46,0.009990606060606061
G47,0.01001690909090909
G48,0.009845979797979798
G49,0.010015555555555555
G5,0.01004540404040404
G50,0.009995959595959596
G51,0.00995
G52,0.010072111111111112
G53,0.009967828282828283
G54,0.01004441414141414
G55,0.009898929292929293
G56,0.010035151515151516
G57,0.010043353535353535
G58,0.010010080808080808
G59,0.009867050505050505
G6,0.010034676767676767
G60,0.009967484848484849
G61,0.010033474747474748
G62,0.009961222222222222
G63,0.010130919191919191
G64,0.009996
G65,0.009956414141414141
G66,0.009986232323232322
G67,0.009987616161616163
G68,0.010032515151515152
G69,0.009941434343434344
G7,0.009943070707070708
G70,0.009915757575757576
G71,0.009934626262626263
G72,0.00994570707070707
G73,0.010009141414141415
G74,0.009841959595959595
G75,0.009962878787878788
G76,0.010005222222222223
G77,0.009974343434343435
G78,0.010013787878787879
G79,0.009943777777777779
G8,0.00997279797979798
G80,0.010023919191919192
G81,0.009952131313131312
G82,0.009986151515151516
G83,0.010003949494949494
G84,0.00999639393939394
G85,0.010007818181818182
G86,0.009968909090909093
G87,0.009972191919191919
G88,0.009977111111111112
G89,0.010004626262626262
G9,0.00999019191919192
G90,0.009974171717171717
G91,0.00999921212121212
G92,0.010011141414141413
G93,0.010013666666666667
G94,0.00996260606060606
G95,0.01000470707070707
G96,0.01001379797979798
G97,0.010034616161616163
G98,0.009931262626262627
G99,0.009999252525252526
